Date,Outdoor Temperature (°C),Indoor Temperature (°C),Energy Price (p/kWh),Heat Demand (kWh),Heat Pump Status
2023-01-01 00:00:00,5.5,20.0,4.41,3.029630944444444,On
2023-01-01 00:30:00,5.5,22.0,13.91,0.0,Off
2023-01-01 01:00:00,5.5,21.23590330940541,15.44,0.0,Off
2023-01-01 01:30:00,5.5,20.52409113396702,1.1,2.4551927482054037,On
2023-01-01 02:00:00,5.5,22.0,6.7,0.8375,On
2023-01-01 02:30:00,5.5,22.0,1.34,0.8375,On
2023-01-01 03:00:00,5.5,22.0,2.1,0.8375,On
2023-01-01 03:30:00,5.5,22.0,-5.11,0.8375,On
2023-01-01 04:00:00,5.5,22.0,1.1,0.8375,On
2023-01-01 04:30:00,5.5,22.0,-3.31,0.8375,On
2023-01-01 05:00:00,5.3,22.0,-0.99,0.8524999999999999,On
2023-01-01 05:30:00,5.3,22.0,-0.75,0.8524999999999999,On
2023-01-01 06:00:00,5.1,22.0,-0.88,0.8674999999999998,On
2023-01-01 06:30:00,5.1,22.0,1.1,0.8674999999999998,On
2023-01-01 07:00:00,5.0,22.0,0.58,0.8749999999999999,On
2023-01-01 07:30:00,5.0,22.0,8.82,0.0,Off
2023-01-01 08:00:00,4.9,21.20169002475192,4.23,1.7574999999999985,On
2023-01-01 08:30:00,4.9,22.0,16.76,0.0,Off
2023-01-01 09:00:00,4.9,21.194847367821218,15.57,0.0,Off
2023-01-01 09:30:00,4.9,20.444788568030916,31.13,0.0,Off
2023-01-01 10:00:00,4.4,19.746053718688774,31.97,1.048341750744466,On
2023-01-01 10:30:00,4.4,20.0,32.24,0.7699999999999999,On
2023-01-01 11:00:00,3.8,20.0,30.47,0.8149999999999998,On
2023-01-01 11:30:00,3.8,20.0,32.24,0.8149999999999998,On
2023-01-01 12:00:00,3.6,20.0,32.24,0.8299999999999997,On
2023-01-01 12:30:00,3.6,20.0,32.24,0.8299999999999997,On
2023-01-01 13:00:00,3.2,20.0,32.24,0.86,On
2023-01-01 13:30:00,3.2,20.0,32.24,0.86,On
2023-01-01 14:00:00,3.2,20.0,32.24,0.86,On
